"source","target","value"
"Indian River","Brevard",167.83
"Lake","Osceola",23.25
"Orange","Brevard",12120.06
"Orange","Indian River",42.65
"Orange","Lake",45213.38
"Orange","Osceola",415.71
"Orange","Polk",26732.55
"Orange","Seminole",106.79
"Orange","Sumter",686.39
"Orange","Volusia",21131.71
"Osceola","Brevard",1431.97
"Osceola","Indian River",93.34
"Osceola","Lake",5227.28
"Osceola","Polk",17194.62
"Osceola","Volusia",366.66
"Polk","Lake",146.88
"Seminole","Brevard",931.22
"Seminole","Lake",7994.01
"Seminole","Orange",122.56
"Seminole","Osceola",19.74
"Seminole","Polk",871.72
"Seminole","Sumter",108.18
"Seminole","Volusia",38732.63
"Sumter","Lake",68.3
